art_name,sone_name
Taylor Swift,Anti-Hero
Taylor Swift,You’re On Your Own， Kid
Taylor Swift,Midnight Rain
Taylor Swift,Bejeweled
Taylor Swift,Labyrinth
Taylor Swift,Sweet Nothing
Taylor Swift,Mastermind
Taylor Swift,The Great War
Taylor Swift,Bigger Than The Whole Sky
Taylor Swift,Paris
Taylor Swift,High Infidelity
Taylor Swift,Glitch
Taylor Swift,Would’ve， Could’ve， Should’ve
Taylor Swift,Dear Reader
Taylor Swift,Back to December
Taylor Swift,Bad Blood
Taylor Swift,Highway Don’t Care
Taylor Swift,Beautiful Eyes
Taylor Swift,I Heart ?
Taylor Swift,Begin Again
Taylor Swift,Sparks Fly
Taylor Swift,Back To December
Taylor Swift,Back To December
Taylor Swift,Speak Now
Taylor Swift,Dear John
Taylor Swift,Mean
Taylor Swift,The Story Of Us
Taylor Swift,Never Grow Up
Taylor Swift,Enchanted
Taylor Swift,Better Than Revenge
Taylor Swift,Better Than Revenge
Taylor Swift,Innocent
Taylor Swift,Haunted
Taylor Swift,Last Kiss
Taylor Swift,Fearless
Taylor Swift,Fifteen
Taylor Swift,Love Story
Taylor Swift,Hey Stephen
Taylor Swift,White Horse
Taylor Swift,You Belong With Me
Taylor Swift,Breathe
Taylor Swift,Tell Me Why
Taylor Swift,You’re Not Sorry
Taylor Swift,The Way I Loved You
Taylor Swift,Forever & Always
Taylor Swift,The Best Day
Taylor Swift,Change
Taylor Swift,The Last Time
Taylor Swift,cardigan
Taylor Swift,exile
Taylor Swift,my tears ricochet
Taylor Swift,mirrorball
Taylor Swift,seven
Taylor Swift,august
Taylor Swift,this is me trying
Taylor Swift,illicit affairs
Taylor Swift,invisible string
Taylor Swift,epiphany
Taylor Swift,hoax
Taylor Swift,willow
Taylor Swift,‘tis the damn season
Taylor Swift,no body， no crime
Taylor Swift,dorothea
Taylor Swift,coney island
Taylor Swift,long story short
Taylor Swift,marjorie
Taylor Swift,closure
Taylor Swift,evermore
Taylor Swift,Welcome To New York
Taylor Swift,Blank Space
Taylor Swift,Style
Taylor Swift,Out Of The Woods
Taylor Swift,All You Had To Do Was Stay
Taylor Swift,Shake It Off
Taylor Swift,I Wish You Would
Taylor Swift,Bad Blood
Taylor Swift,Wildest Dreams
Taylor Swift,How You Get The Girl
Taylor Swift,...Ready For It?
Taylor Swift,End Game
Taylor Swift,I Did Something Bad
Taylor Swift,Don’t Blame Me
Taylor Swift,Delicate
Taylor Swift,Look What You Made Me Do
Taylor Swift,Gorgeous
Taylor Swift,Getaway Car
Taylor Swift,King Of My Heart
Taylor Swift,Dancing With Our Hands Tied
Taylor Swift,...Ready For It?
Taylor Swift,End Game
Taylor Swift,I Did Something Bad
Taylor Swift,Don’t Blame Me
Taylor Swift,Delicate
Taylor Swift,Look What You Made Me Do
Taylor Swift,So It Goes...
Taylor Swift,Gorgeous
Taylor Swift,Getaway Car
Taylor Swift,King Of My Heart
Taylor Swift,All Of The Girls You Loved Before
Taylor Swift,We Are Never Ever Getting Back Together
Taylor Swift,...Ready For It？
Taylor Swift,End Game
Taylor Swift,I Did Something Bad 
Taylor Swift,Don’t Blame Me
Taylor Swift,Delicate
Taylor Swift,Look What You Made Me Do
Taylor Swift,So It Goes...
Taylor Swift,Gorgeous
Taylor Swift,Getaway Car
Taylor Swift,King of My Heart
Taylor Swift,Dancing With Our Hands Tied
Taylor Swift,Dress
Taylor Swift,This Is Why We Can’t Have Nice Things
Taylor Swift,Call It What You Want
Taylor Swift,New Year’s Day
Taylor Swift,Last Christmas
Taylor Swift,Christmases When You Were Mine
Taylor Swift,Santa Baby
Taylor Swift,Silent Night
Taylor Swift,Christmas Must Be Something More
Taylor Swift,White Christmas
Taylor Swift,22
Taylor Swift,Welcome To New York
Taylor Swift,Blank Space
Taylor Swift,Style
Taylor Swift,Out Of The Woods
Taylor Swift,All You Had To Do Was Stay
Taylor Swift,Shake It Off
Taylor Swift,I Wish You Would
Taylor Swift,Bad Blood
Taylor Swift,Wildest Dreams
Taylor Swift,How You Get The Girl
Taylor Swift,This Love
Taylor Swift,I Know Places
Taylor Swift,Clean
Taylor Swift,Wonderland
Taylor Swift,You Are In Love
Taylor Swift,New Romantics
Taylor Swift,Love Story
Taylor Swift,White Horse
Taylor Swift,You Belong With Me
Taylor Swift,Breathe
Taylor Swift,The Hunger Games - Safe & Sound
Taylor Swift,Mine
Taylor Swift,Sparks Fly
Taylor Swift,Back To December
Taylor Swift,Speak Now
Taylor Swift,Dear John
Taylor Swift,Mean
Taylor Swift,The Story Of Us
Taylor Swift,Never Grow Up
Taylor Swift,Enchanted
Taylor Swift,Better Than Revenge
Taylor Swift,Welcome To New York
Taylor Swift,Blank Space
Taylor Swift,Style
Taylor Swift,Out Of The Woods
Taylor Swift,All You Had To Do Was Stay
Taylor Swift,Shake It Off
Taylor Swift,I Wish You Would
Taylor Swift,Bad Blood
Taylor Swift,Wildest Dreams
Taylor Swift,How You Get The Girl
Taylor Swift,This Love
Taylor Swift,I Know Places
Taylor Swift,Clean
Taylor Swift,Today Was A Fairytale
Taylor Swift,Cruel Summer
Taylor Swift,Lover
Taylor Swift,The Man
Taylor Swift,The Archer
Taylor Swift,All Of The Girls You Loved Before
Taylor Swift,Anti-Hero
Taylor Swift,You’re On Your Own， Kid
Taylor Swift,Midnight Rain
Taylor Swift,Bejeweled
Taylor Swift,Labyrinth
Taylor Swift,Sweet Nothing
Taylor Swift,Mastermind
Taylor Swift,The Great War
Taylor Swift,Bigger Than The Whole Sky
Taylor Swift,Paris
Taylor Swift,High Infidelity
Taylor Swift,Glitch
Taylor Swift,Would’ve， Could’ve， Should’ve
Taylor Swift,Dear Reader
Taylor Swift,State Of Grace
Taylor Swift,Red
Taylor Swift,Treacherous
Taylor Swift,I Knew You Were Trouble.
Taylor Swift,All Too Well
Taylor Swift,22
Taylor Swift,I Almost Do
Taylor Swift,We Are Never Ever Getting Back Together
Taylor Swift,Stay Stay Stay
Taylor Swift,The Last Time
Taylor Swift,All Too Well
Taylor Swift,Wildest Dreams
Taylor Swift,The Best Day
Taylor Swift,Red
Taylor Swift,Holy Ground
Taylor Swift,Our Song
Taylor Swift,22
Taylor Swift,I Knew You Were Trouble.
Taylor Swift,Mean
Taylor Swift,How You Get The Girl
Taylor Swift,So It Goes...
Taylor Swift,Fifteen
Taylor Swift,Mine
Taylor Swift,Sparks Fly
Taylor Swift,State Of Grace
Taylor Swift,Haunted
Taylor Swift,Never Grow Up
Taylor Swift,Treacherous
Taylor Swift,Everything Has Changed
Taylor Swift,cardigan
Taylor Swift,exile
Taylor Swift,my tears ricochet
Taylor Swift,mirrorball
Taylor Swift,seven
Taylor Swift,august
Taylor Swift,this is me trying
Taylor Swift,illicit affairs
Taylor Swift,invisible string
Taylor Swift,epiphany
Taylor Swift,hoax
Taylor Swift,the lakes
Taylor Swift,Out Of The Woods
Taylor Swift,Teardrops On My Guitar
Taylor Swift,Red
Taylor Swift,Christmas Tree Farm
Taylor Swift,Christmases When You Were Mine
Taylor Swift,Santa Baby
Taylor Swift,Silent Night
Taylor Swift,Christmas Must Be Something More
Taylor Swift,White Christmas
Taylor Swift,Last Christmas
Taylor Swift,Christmases When You Were Mine
Taylor Swift,Santa Baby
Taylor Swift,Silent Night
Taylor Swift,Christmas Must Be Something More
Taylor Swift,White Christmas
Taylor Swift,Shake It Off
Taylor Swift,Tim McGraw
Taylor Swift,Picture To Burn
Taylor Swift,A Place In This World
Taylor Swift,Cold As You
Taylor Swift,The Outside
Taylor Swift,Tied Together With A Smile
Taylor Swift,Stay Beautiful
Taylor Swift,Should’ve Said No
Taylor Swift,Fearless
Taylor Swift,Fifteen
Taylor Swift,Love Story
Taylor Swift,Hey Stephen
Taylor Swift,White Horse
Taylor Swift,You Belong With Me
Taylor Swift,Breathe
Taylor Swift,Tell Me Why
Taylor Swift,You’re Not Sorry
Taylor Swift,The Way I Loved You
Taylor Swift,Anti-Hero
Taylor Swift,You’re On Your Own， Kid
Taylor Swift,Midnight Rain
Taylor Swift,Bejeweled
Taylor Swift,Labyrinth
Taylor Swift,Sweet Nothing
Taylor Swift,Mastermind
Taylor Swift,The Great War
Taylor Swift,Bigger Than The Whole Sky
Taylor Swift,Paris
Taylor Swift,High Infidelity
Taylor Swift,Glitch
Taylor Swift,Would’ve， Could’ve， Should’ve
Taylor Swift,Dear Reader
Taylor Swift,State Of Grace
Taylor Swift,Red
Taylor Swift,Treacherous
Taylor Swift,I Knew You Were Trouble.
Taylor Swift,All Too Well
Taylor Swift,22
